BldLink,BldName,BldAddress,BldSize,BldType,BldBuilt,BldFurnish,BldBedRoomCount,BldToiletCount,BldRentFee,BldRentFeePeriod,timestamp
https://www.propertyguru.com.sg/listing/24169904/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,2200 sqft,Condominium,2008,Partially Furnished,4 ,3 ,"13,800 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/21819378/for-rent-marina-bay-residences,Marina Bay Residences,18 Marina Boulevard,2379 sqft,Condominium,2010,Partially Furnished,4 ,3 ,"23,000 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/23563303/for-rent-marina-bay-residences,Marina Bay Residences,18 Marina Boulevard,3972 sqft,Condominium,2010,Fully Furnished,5 ,5 ,"60,000 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/21946939/for-rent-marina-bay-residences,Marina Bay Residences,18 Marina Boulevard,2000 sqft,Condominium,2010,Partially Furnished,3 ,3 ,"25,000 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/hdb-for-rent-78-marine-drive-24174230,78 Marine Drive,78 Marine Drive,1350 sqft,HDB Flat,1976,Partially Furnished,3 ,2 ,"5,500 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/21336725/for-rent-marina-one-residences,Marina One Residences,23 Marina Way,732 sqft,Condominium,2017,Fully Furnished,1 ,1 ,"6,000 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/24166818/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,2200 sqft,Condominium,2008,Partially Furnished,4 ,4 ,"13,800 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/21021150/for-rent-v-on-shenton,V on Shenton,5 Shenton Way,883 sqft,Condominium,2017,Fully Furnished,2 ,2 ,"7,000 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/24175378/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,4 Marina Boulevard,1500 sqft,Condominium,2008,Partially Furnished,3 ,3 ,"8,800 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/24180234/for-rent-v-on-shenton,V on Shenton,5 Shenton Way,1359 sqft,Condominium,2017,Fully Furnished,3 ,2 ,"10,500 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/23296544/for-rent-jago-close,Jago close,,"4662 sqft (floor), 1992 sqft (land)",Terraced House,NA,Partially Furnished,7 ,6 ,"10,500 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/21699274/for-rent-marina-bay-residences,Marina Bay Residences,18 Marina Boulevard,3972 sqft,Condominium,2010,NA,4 ,5 ,"65,000 ",/mo,"10/06/2022, 09:31:24"
https://www.propertyguru.com.sg/listing/24175289/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,2200 sqft,Condominium,2008,Partially Furnished,4 ,4 ,"13,800 ",/mo,"10/06/2022, 09:31:24"
https://www.propertyguru.com.sg/listing/24139697/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,2200 sqft,Condominium,2008,Partially Furnished,4 ,4 ,"13,800 ",/mo,"10/06/2022, 09:31:24"
https://www.propertyguru.com.sg/listing/24178815/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,2201 sqft,Condominium,2008,Partially Furnished,4 ,4 ,"13,800 ",/mo,"10/06/2022, 09:31:24"
https://www.propertyguru.com.sg/listing/23058188/for-rent-marina-one-residences,Marina One Residences,23 Marina Way,710 sqft,Condominium,2017,Partially Furnished,1 ,1 ,"5,999 ",/mo,"10/06/2022, 09:31:24"
https://www.propertyguru.com.sg/listing/24118121/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,2200 sqft,Condominium,2008,Partially Furnished,4 ,4 ,"13,800 ",/mo,"10/06/2022, 09:31:24"
https://www.propertyguru.com.sg/listing/23728609/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,936 sqft,Condominium,2008,NA,2 ,2 ,"7,800 ",/mo,"10/06/2022, 09:31:24"
https://www.propertyguru.com.sg/listing/21373394/for-rent-marina-one-residences,Marina One Residences,23 Marina Way,678 sqft,Condominium,2017,Partially Furnished,1 ,1 ,"5,300 ",/mo,"10/06/2022, 09:31:25"
https://www.propertyguru.com.sg/listing/22068668/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,893 sqft,Apartment,2008,NA,2 ,2 ,"6,500 ",/mo,"10/06/2022, 09:31:25"
https://www.propertyguru.com.sg/listing/23932963/for-rent-havelock-ii,Havelock II,2 Havelock Road,322 sqft,Apartment,NA,NA,1 ,1 ,"3,300 ",/mo,"10/06/2022, 09:31:25"
https://www.propertyguru.com.sg/listing/23212527/for-rent-marina-one-residences,Marina One Residences,23 Marina Way,1130 sqft,Condominium,2017,Fully Furnished,2 ,2 ,"8,400 ",/mo,"10/06/2022, 09:31:25"
https://www.propertyguru.com.sg/listing/24164865/for-rent-marina-one-residences,Marina One Residences,23 Marina Way,732 sqft,Condominium,2017,Fully Furnished,1 ,1 ,"6,500 ",/mo,"10/06/2022, 09:31:25"
https://www.propertyguru.com.sg/listing/23144956/for-rent-marina-bay-suites,Marina Bay Suites,3 Central Boulevard,2056 sqft,Apartment,2014,Partially Furnished,4 ,3 ,"19,000 ",/mo,"10/06/2022, 09:31:25"
https://www.propertyguru.com.sg/listing/24166790/for-rent-the-sail-marina,THE SAIL@MARINA,,2000 sqft,Condominium,NA,Partially Furnished,4 ,3 ,"13,800 ",/mo,"10/06/2022, 09:31:25"
https://www.propertyguru.com.sg/listing/21860235/for-rent-marina-bay-residences,Marina Bay Residences,18 Marina Boulevard,2380 sqft,Condominium,2010,Partially Furnished,4 ,4 ,"21,000 ",/mo,"10/06/2022, 09:31:25"
https://www.propertyguru.com.sg/listing/23903298/for-rent-marina-bay-residences,Marina Bay Residences,18 Marina Boulevard,1636 sqft,Condominium,2010,Fully Furnished,3 ,3 ,"12,800 ",/mo,"10/06/2022, 09:31:25"
https://www.propertyguru.com.sg/listing/24155405/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,936 sqft,Condominium,2008,Fully Furnished,2 ,2 ,"7,800 ",/mo,"10/06/2022, 09:31:25"
https://www.propertyguru.com.sg/listing/24140405/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,2000 sqft,Condominium,2008,Partially Furnished,4 ,3 ,"13,800 ",/mo,"10/06/2022, 09:31:25"
https://www.propertyguru.com.sg/listing/24176291/for-rent-marina-bay-suites,Marina Bay Suites,3 Central Boulevard,2680 sqft,Apartment,2014,Partially Furnished,4 ,4 ,"19,000 ",/mo,"10/06/2022, 09:31:25"
https://www.propertyguru.com.sg/listing/23619619/for-rent-emerald-garden,Emerald Garden,33 Club Street,180 sqft,Condominium,1998,Fully Furnished,NA,NA,"2,100 ",/mo,"10/06/2022, 09:31:25"
https://www.propertyguru.com.sg/listing/24157073/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,2200 sqft,Condominium,2008,Partially Furnished,4 ,4 ,"13,800 ",/mo,"10/06/2022, 09:31:32"
https://www.propertyguru.com.sg/listing/24174273/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,2200 sqft,Condominium,2008,Partially Furnished,4 ,3 ,"13,800 ",/mo,"10/06/2022, 09:31:32"
https://www.propertyguru.com.sg/listing/24174745/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,6 Marina Boulevard,838 sqft,Apartment,2008,Fully Furnished,2 ,2 ,"7,560 ",/mo,"10/06/2022, 09:31:32"
https://www.propertyguru.com.sg/listing/24118659/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,689 sqft,Condominium,2008,Fully Furnished,1 ,1 ,"6,500 ",/mo,"10/06/2022, 09:31:32"
https://www.propertyguru.com.sg/listing/24153863/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,1948 sqft,Condominium,2008,Partially Furnished,4 ,4 ,"13,800 ",/mo,"10/06/2022, 09:31:32"
https://www.propertyguru.com.sg/listing/24175238/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,6 Marina Boulevard,2200 sqft,Condominium,2008,Partially Furnished,4 ,3 ,"13,800 ",/mo,"10/06/2022, 09:31:32"
https://www.propertyguru.com.sg/listing/24147719/for-rent-marina-bay-residences,Marina Bay Residences,18 Marina Boulevard,2379 sqft,Condominium,2010,Partially Furnished,4 ,4 ,"21,000 ",/mo,"10/06/2022, 09:31:32"
https://www.propertyguru.com.sg/listing/22965666/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,1948 sqft,Apartment,2008,Partially Furnished,4 ,4 ,"12,000 ",/mo,"10/06/2022, 09:31:32"
https://www.propertyguru.com.sg/listing/24146031/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,6 Marina Boulevard,689 sqft,Condominium,2008,NA,1 ,1 ,"6,500 ",/mo,"10/06/2022, 09:31:32"
https://www.propertyguru.com.sg/listing/24158164/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,6 Marina Boulevard,667 sqft,Condominium,2008,Fully Furnished,1 ,1 ,"5,000 ",/mo,"10/06/2022, 09:31:32"
https://www.propertyguru.com.sg/listing/19145761/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,2180 sqft,Apartment,2008,Partially Furnished,4 ,3 ,"13,800 ",/mo,"10/06/2022, 09:31:32"
https://www.propertyguru.com.sg/listing/22324302/for-rent-marina-one-residences,Marina One Residences,23 Marina Way,764 sqft,Condominium,2017,Partially Furnished,1 ,1 ,"6,000 ",/mo,"10/06/2022, 09:31:32"
https://www.propertyguru.com.sg/listing/24113249/for-rent-marina-bay-suites,Marina Bay Suites,3 Central Boulevard,1572 sqft,Apartment,2014,Fully Furnished,3 ,3 ,"11,000 ",/mo,"10/06/2022, 09:31:32"
https://www.propertyguru.com.sg/listing/21048834/for-rent-v-on-shenton,V on Shenton,5A Shenton Way,689 sqft,Condominium,2017,Partially Furnished,2 ,1 ,"5,400 ",/mo,"10/06/2022, 09:31:32"
https://www.propertyguru.com.sg/listing/24174534/for-rent-v-on-shenton,V on Shenton,5A Shenton Way,947 sqft,Condominium,2017,Fully Furnished,2 ,2 ,"7,200 ",/mo,"10/06/2022, 09:31:32"
https://www.propertyguru.com.sg/listing/19172240/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,1798 sqft,Apartment,2008,Partially Furnished,4 ,3 ,"12,000 ",/mo,"10/06/2022, 09:31:32"
https://www.propertyguru.com.sg/listing/24152965/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,6 Marina Boulevard,936 sqft,Condominium,2008,Fully Furnished,2 ,2 ,"7,800 ",/mo,"10/06/2022, 09:31:32"
https://www.propertyguru.com.sg/listing/23569300/for-rent-emerald-garden,Emerald Garden,33 Club Street,226 sqft,Condominium,1998,Fully Furnished,1 ,1 ,"2,600 ",/mo,"10/06/2022, 09:31:32"
https://www.propertyguru.com.sg/listing/3114044/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,1184 sqft,Apartment,2008,Partially Furnished,3 ,2 ,"8,800 ",/mo,"10/06/2022, 09:31:32"
https://www.propertyguru.com.sg/listing/24168938/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,6 Marina Boulevard,2200 sqft,Condominium,2008,Partially Furnished,4 ,3 ,"13,800 ",/mo,"10/06/2022, 09:31:32"
https://www.propertyguru.com.sg/listing/21928159/for-rent-marina-one-residences,Marina One Residences,23 Marina Way,2002 sqft,Apartment,2017,Partially Furnished,4 ,3 ,"17,500 ",/mo,"10/06/2022, 09:31:39"
https://www.propertyguru.com.sg/listing/23004713/for-rent-marina-bay-residences,Marina Bay Residences,18 Marina Boulevard,1959 sqft,Condominium,2010,Partially Furnished,4 ,4 ,"25,000 ",/mo,"10/06/2022, 09:31:39"
https://www.propertyguru.com.sg/listing/24167075/for-rent-marina-one-residences,Marina One Residences,21 Marina Way,743 sqft,Condominium,2017,Fully Furnished,1 ,1 ,"5,300 ",/mo,"10/06/2022, 09:31:39"
https://www.propertyguru.com.sg/listing/21977258/for-rent-marina-bay-suites,Marina Bay Suites,3 Central Boulevard,2067 sqft,Apartment,2014,Partially Furnished,4 ,4 ,"16,800 ",/mo,"10/06/2022, 09:31:39"
https://www.propertyguru.com.sg/listing/23474588/for-rent-marina-bay-residences,Marina Bay Residences,18 Marina Boulevard,1991 sqft,Condominium,2010,Partially Furnished,3 ,2 ,"17,000 ",/mo,"10/06/2022, 09:31:39"
https://www.propertyguru.com.sg/listing/24180406/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,6 Marina Boulevard,70 sqft,Condominium,2008,Fully Furnished,NA,NA,"1,900 ",/mo,"10/06/2022, 09:31:39"
https://www.propertyguru.com.sg/listing/21794784/for-rent-one-shenton,One Shenton,1 Shenton Way,1582 sqft,Condominium,2011,Fully Furnished,3 ,3 ,"12,000 ",/mo,"10/06/2022, 09:31:39"
https://www.propertyguru.com.sg/listing/24166364/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,6 Marina Boulevard,2200 sqft,Condominium,2008,Partially Furnished,4 ,3 ,"13,800 ",/mo,"10/06/2022, 09:31:39"
https://www.propertyguru.com.sg/listing/24133130/for-rent-marina-bay-residences,Marina Bay Residences,18 Marina Boulevard,1970 sqft,Condominium,2010,Partially Furnished,3 ,3 ,"25,000 ",/mo,"10/06/2022, 09:31:39"
https://www.propertyguru.com.sg/listing/24178839/for-rent-the-clift,The Clift,21 McCallum Street,527 sqft,Apartment,2011,Fully Furnished,1 ,1 ,"5,000 ",/mo,"10/06/2022, 09:31:39"
https://www.propertyguru.com.sg/listing/21234159/for-rent-marina-one-residences,Marina One Residences,23 Marina Way,700 sqft,Condominium,2017,Partially Furnished,1 ,1 ,"5,200 ",/mo,"10/06/2022, 09:31:39"
https://www.propertyguru.com.sg/listing/21450960/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,1798 sqft,Apartment,2008,Partially Furnished,3 ,3 ,"12,001 ",/mo,"10/06/2022, 09:31:39"
https://www.propertyguru.com.sg/listing/24167405/for-rent-prime-living-cbd-marina-bay,Prime Living @ CBD Marina Bay,,2199 sqft,Condominium,NA,Partially Furnished,4 ,3 ,"13,800 ",/mo,"10/06/2022, 09:31:39"
https://www.propertyguru.com.sg/listing/23644581/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,6 Marina Boulevard,2200 sqft,Condominium,2008,Partially Furnished,4 ,3 ,"13,800 ",/mo,"10/06/2022, 09:31:39"
https://www.propertyguru.com.sg/listing/24156179/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,883 sqft,Condominium,2008,Fully Furnished,2 ,2 ,"7,600 ",/mo,"10/06/2022, 09:31:39"
https://www.propertyguru.com.sg/listing/22987094/for-rent-marina-one-residences,Marina One Residences,23 Marina Way,775 sqft,Condominium,2017,Fully Furnished,1 ,1 ,"6,500 ",/mo,"10/06/2022, 09:31:39"
https://www.propertyguru.com.sg/listing/24139805/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,2200 sqft,Condominium,2008,Partially Furnished,4 ,4 ,"13,800 ",/mo,"10/06/2022, 09:31:39"
https://www.propertyguru.com.sg/listing/24152963/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,6 Marina Boulevard,936 sqft,Condominium,2008,NA,2 ,2 ,"7,800 ",/mo,"10/06/2022, 09:31:39"
https://www.propertyguru.com.sg/listing/24089257/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,100 sqft,Apartment,2008,Fully Furnished,NA,NA,"2,150 ",/mo,"10/06/2022, 09:31:39"
https://www.propertyguru.com.sg/listing/23724484/for-rent-robinson-suites,Robinson Suites,50 Robinson Road,495 sqft,Condominium,2016,Fully Furnished,1 ,1 ,"5,000 ",/mo,"10/06/2022, 09:31:39"
https://www.propertyguru.com.sg/listing/24165019/for-rent-marina-bay-residences,Marina Bay Residences,18 Marina Boulevard,1970 sqft,Condominium,2010,Partially Furnished,3 ,3 ,"24,999 ",/mo,"10/06/2022, 09:31:44"
https://www.propertyguru.com.sg/listing/23606379/for-rent-v-on-shenton,V on Shenton,5 Shenton Way,1518 sqft,Condominium,2017,Partially Furnished,3 ,2 ,"10,000 ",/mo,"10/06/2022, 09:31:44"
https://www.propertyguru.com.sg/listing/24177465/for-rent-v-on-shenton,V on Shenton,5 Shenton Way,1518 sqft,Condominium,2017,NA,3 ,2 ,"13,888 ",/mo,"10/06/2022, 09:31:44"
https://www.propertyguru.com.sg/listing/23325122/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,861 sqft,Condominium,2008,Partially Furnished,2 ,2 ,"6,500 ",/mo,"10/06/2022, 09:31:44"
https://www.propertyguru.com.sg/listing/23034803/for-rent-emerald-garden,Emerald Garden,33 Club Street,1033 sqft,Condominium,1998,Partially Furnished,3 ,2 ,"5,800 ",/mo,"10/06/2022, 09:31:44"
https://www.propertyguru.com.sg/listing/24175660/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,2200 sqft,Condominium,2008,NA,4 ,3 ,"14,000 ",/mo,"10/06/2022, 09:31:44"
https://www.propertyguru.com.sg/listing/23507120/for-rent-marina-one-residences,Marina One Residences,21 Marina Way,1130 sqft,Condominium,2017,Partially Furnished,2 ,2 ,"8,000 ",/mo,"10/06/2022, 09:31:44"
https://www.propertyguru.com.sg/listing/24166777/for-rent-riverwalk-apartments,Riverwalk Apartments,20 Upper Circular Road,4200 sqft,Apartment,1990,Partially Furnished,4 ,4 ,"28,000 ",/mo,"10/06/2022, 09:31:44"
https://www.propertyguru.com.sg/listing/24139679/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,6 Marina Boulevard,2200 sqft,Condominium,2008,Partially Furnished,4 ,4 ,"15,500 ",/mo,"10/06/2022, 09:31:44"
https://www.propertyguru.com.sg/listing/24165504/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,4 Marina Boulevard,2200 sqft,Condominium,2008,Partially Furnished,4 ,3 ,"13,799 ",/mo,"10/06/2022, 09:31:44"
https://www.propertyguru.com.sg/listing/24130250/for-rent-people-s-park-complex,People's Park Complex,1 Park Road,300 sqft,Apartment,1973,Fully Furnished,NA,NA,"2,600 ",/mo,"10/06/2022, 09:31:44"
https://www.propertyguru.com.sg/listing/24175688/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,2200 sqft,Condominium,2008,Fully Furnished,4 ,2 ,"13,800 ",/mo,"10/06/2022, 09:31:44"
https://www.propertyguru.com.sg/listing/19156224/for-rent-the-sail-at-marina-bay,The Sail at Marina Bay,2 2 Marina Boulevard,936 sqft,Apartment,NA,Fully Furnished,2 ,2 ,"7,800 ",/mo,"10/06/2022, 09:31:44"
https://www.propertyguru.com.sg/listing/24160478/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,6 Marina Boulevard,2200 sqft,Condominium,2008,NA,4 ,NA,"13,800 ",/mo,"10/06/2022, 09:31:44"
https://www.propertyguru.com.sg/listing/24175202/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,6 Marina Boulevard,861 sqft,Condominium,2008,Fully Furnished,2 ,2 ,"6,500 ",/mo,"10/06/2022, 09:31:44"
